"Record ID","Item type","Content type","ISSN","Languages","Library of Congress classifications","Dewey classifications","Title","Other titles","Creators/Contributors","Publisher","Country of publication","Journal","Publication frequency","Year","Volume","Part/Number","Issue","Supplement","Season/Month","Start page","End page","Citation","British Library shelfmark"
"(Uk)EN000561198","article","text","0031-0182","","QE500","560.45","Mesozoic radiolarian biostratigraphy of Japan and collage tectonics along the eastern continental margin of Asia","","Kojima, S. ; Mizutani, S.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","1/2","","","","367","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(1/2), 367. (1992)","6343.450000"
"(Uk)EN000561204","article","text","0031-0182","","QE500","560.45","Significance of Mesozoic radiolarians for tectonostratigraphy in Pacific rim terranes of the former USSR","","Vishnevskaya, V.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","1/2","","","","23","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(1/2), 23. (1992)","6343.450000"
"(Uk)EN000561216","article","text","0031-0182","","QE500","560.45","Tectonostratigraphy of Mino terrane: Jurassic accretionary complex of southwest Japan","","Horibo, K. ; Sano, H. ; Yamagata, T.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","1/2","","","","41","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(1/2), 41. (1992)","6343.450000"
"(Uk)EN000561228","article","text","0031-0182","","QE500","560.45","Age of the covering strata in the Kurosegawa Terrane: dismembered continental fragment in southwest Japan","","Hada, S. ; Kawakami, A. ; Sato, E. ; Takeshima, H.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","1/2","","","","59","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(1/2), 59. (1992)","6343.450000"
"(Uk)EN000561230","article","text","0031-0182","","QE500","560.45","Jurassic-Early Cretaceous tectonic evolution of the Southern Chichibu terrane, southwest Japan","","Matsuoka, A.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","1/2","","","","71","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(1/2), 71. (1992)","6343.450000"
"(Uk)EN000561241","article","text","0031-0182","","QE500","560.45","Implications of radiolarian research for analysis of subduction complex terranes in the New England Orogen, NSW, Australia","","Aitchison, J. C. ; Flood, P. G.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","1/2","","","","89","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(1/2), 89. (1992)","6343.450000"
"(Uk)EN000561253","article","text","0031-0182","","QE500","560.45","Tectonic and paleobiogeographic significance of radiolarian microfaunas in the Permian to Mesozoic basement rocks of the North Island, New Zealand","","Aita, Y. ; Spoerli, K. B.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","1/2","","","","103","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(1/2), 103. (1992)","6343.450000"
"(Uk)EN000561265","article","text","0031-0182","","QE500","560.45","Setting and occurrence of Late Paleozoic radiolarians in the Sylvester allochthon, part of a proto-Pacific ocean floor terrane in the Canadian Cordillera","","Harms, T. A. ; Murchey, B. L.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","1/2","","","","127","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(1/2), 127. (1992)","6343.450000"
"(Uk)EN000561277","article","text","0031-0182","","QE500","560.45","Biostratigraphy of the Caballos Novaculite-Tesnus Formation boundary, Marathon Basin, Texas","","Noble, P.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","1/2","","","","141","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(1/2), 141. (1992)","6343.450000"
"(Uk)EN000561289","article","text","0031-0182","","QE500","560.45","Radiolarians and terrane analysis in the Canadian Cordillera: the 'clastic approach'","","Cordey, F.","","Netherlands","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","monthly","1992","96","1/2","","","","155","","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY 96(1/2), 155. (1992)","6343.450000"
